punkt startowy;p[0] z ekspansji;p[1] z ekspansji;f_calls dla ekspansji;alpha;wynik opt X z fiba;wynik opt Y z fiba;f_calls dla fiba
-17.1206;-1.25753;2.07372;35;1.1;-6.89975e-07;2.54049e-18;56
99.5319;58.3872;65.528;45;1.1;62.7482;-0.921148;58
38.0774;-3.06741;4.07342;45;1.1;1.37491e-07;-6.60276e-18;58
40.6736;-4.58566;3.26925;46;1.1;-1.25406e-06;2.44726e-17;58
-13.1009;-1.18277;1.32005;32;1.1;1.48556e-06;3.71571e-17;54
19.9626;-1.15117;2.5132;38;1.1;7.45659e-07;4.1393e-18;56
-1.78943;-0.178922;0.159285;11;1.1;-2.25247e-06;9.44917e-17;46
83.809;60.5838;64.6146;39;1.1;62.7482;-0.921148;56
73.5193;61.6011;63.6696;32;1.1;62.7482;-0.921148;54
-9.55018;-0.595879;1.28452;29;1.1;1.22259e-06;2.29137e-17;52
-94.3683;-6.17083;12.3506;53;1.1;5.26627e-07;-1.43412e-18;62
64.1206;62.6565;62.9106;10;1.1;62.7482;-0.921148;44
-31.6167;-3.51424;2.38728;41;1.1;-1.22583e-06;2.30725e-17;58
-78.5092;-5.6187;9.68831;51;1.1;1.84067e-06;6.07808e-17;62
-83.875;-10.9845;4.32249;51;1.1;-1.48868e-06;3.73424e-17;62
2.7561;-0.382325;0.162361;18;1.1;-2.08921e-07;-6.10788e-18;48
-83.5627;-10.6722;4.6348;51;1.1;-1.90484e-06;6.55871e-17;62
-15.88;-1.45903;1.56938;34;1.1;-1.37153e-06;3.06413e-17;54
93.9064;59.9025;65.804;43;1.1;62.7482;-0.921148;58
-89.4064;-9.22687;7.61083;52;1.1;9.62545e-07;1.1549e-17;62
74.8716;61.7616;64.0369;33;1.1;62.7482;-0.921148;54
-54.3565;-4.57129;5.8836;47;1.1;-9.94316e-07;1.27925e-17;60
15.1858;-2.26362;0.764784;36;1.1;-2.33326e-06;1.01901e-16;54
55.9633;62.0792;63.3635;25;1.1;62.7482;-0.921148;52
-26.3751;-3.14992;1.72736;39;1.1;1.78792e-06;5.69521e-17;56
39.4329;-5.82632;2.02859;46;1.1;3.27844e-07;-4.83121e-18;58
0.986773;-0.113227;0.986773;7;1.1;3.91328e-07;-3.91809e-18;50
32.0813;-1.92263;3.97888;43;1.1;1.82755e-06;5.98178e-17;58
27.4072;-3.50553;1.85948;42;1.1;1.6448e-06;4.71265e-17;58
-80.7216;-7.83116;7.47584;51;1.1;-1.94475e-06;6.86605e-17;62
-3.80585;-0.353581;0.371396;19;1.1;-6.71898e-09;-6.97993e-18;48
76.7647;60.9016;63.6547;35;1.1;62.7482;-0.921148;54
-80.2429;-7.35246;7.95454;51;1.1;3.64886e-07;-4.318e-18;62
92.7964;58.7925;64.694;43;1.1;62.7482;-0.921148;58
9.32837;-0.521367;1.18809;30;1.1;-6.21659e-08;-6.90354e-18;52
19.4852;-1.62857;2.0358;38;1.1;5.42994e-07;-1.08399e-18;56
-54.36;-4.57483;5.88005;47;1.1;1.80098e-07;-6.33213e-18;60
73.1158;61.1976;63.266;32;1.1;62.7482;-0.921148;54
2.84076;-0.297669;0.247017;18;1.1;4.55104e-07;-2.83845e-18;48
35.2141;-2.19024;4.30142;44;1.1;1.74931e-06;5.42207e-17;58
82.7147;61.6009;65.2653;38;1.1;62.7482;-0.921148;56
-78.58;-5.68947;9.61753;51;1.1;-7.77284e-07;5.10257e-18;62
-55.3918;-5.60665;4.84824;47;1.1;-3.47563e-07;-4.56483e-18;60
98.5771;57.4323;64.5731;45;1.1;62.7482;-0.921148;58
22.8019;-2.74573;1.68816;40;1.1;-1.57182e-06;4.24316e-17;56
83.786;60.5608;64.5917;39;1.1;62.7482;-0.921148;56
78.9212;61.4718;64.5002;36;1.1;62.7482;-0.921148;54
-79.2086;-6.31814;8.98886;51;1.1;1.39676e-06;3.20382e-17;62
54.3033;61.7036;63.2576;27;1.1;62.7482;-0.921148;52
57.6517;62.2467;63.2116;22;1.1;62.7482;-0.921148;50
-87.7342;-7.55465;9.28305;52;1.1;1.87899e-06;6.36312e-17;62
89.9762;59.0635;64.4286;42;1.1;62.7482;-0.921148;58
13.9787;-1.88437;0.868724;35;1.1;-2.25169e-07;-5.96681e-18;54
29.1056;-1.8071;3.55791;42;1.1;3.74468e-07;-4.17631e-18;58
94.9096;60.9056;66.8071;43;1.1;62.7482;-0.921148;58
-64.2414;-4.0013;8.64911;49;1.1;-2.27917e-06;9.69119e-17;60
35.0615;-2.34281;4.14885;44;1.1;1.22776e-06;2.31673e-17;58
38.3147;-2.83012;4.31071;45;1.1;1.74072e-06;5.36212e-17;58
-55.1895;-5.4043;5.05059;47;1.1;2.06997e-06;7.87143e-17;60
-79.3217;-6.43126;8.87574;51;1.1;-2.987e-07;-5.1964e-18;62
-40.4768;-3.07247;4.78245;44;1.1;5.39231e-07;-1.16543e-18;58
-17.5737;-1.71058;1.62067;35;1.1;-1.4609e-06;3.5704e-17;56
7.81715;-1.13715;0.416902;29;1.1;1.56785e-06;4.2182e-17;52
3.68005;-0.4972;0.227777;21;1.1;-9.6105e-07;1.14915e-17;48
27.9824;-2.93025;2.43476;42;1.1;-1.25073e-06;2.43059e-17;58
77.4321;61.569;64.3221;35;1.1;62.7482;-0.921148;54
0.754344;-0.345656;0.754344;7;1.1;-1.48771e-07;-6.53817e-18;50
