x00;x01;x11;x12;y;f_calls
-0,172141; 0,467473; -0,000266467; 0,775285;0,61985;104
0,186295; 0,874952; 0,000357418; 0,774952;0,619843;75
0,924639; 0,868664; 0,774639; 0,774914;1,23968;65
0,527509; 0,828017; 0,774384; 0,774892;1,23968;73
0,0287047; -0,983429; 0,000579733; -0,774054;0,619862;94
0,0165929; -0,709037; -0,00059455; -0,774662;0,619849;95
0,602046; -0,830082; 0,775484; -0,775394;1,23971;93
-0,426894; 0,853472; -0,000331515; 0,775347;0,619853;99
0,725299; -0,814475; 0,775299; -0,775413;1,2397;68
-0,0243906; -0,63539; 0,000609436; -0,774452;0,619851;89
0,619767; -0,60266; 0,774455; -0,774535;1,23968;94
-0,515508; -0,16833; -0,774883; 0,000420345;0,619844;92
0,672388; -0,906266; 0,773951; -0,775016;1,2397;98
-0,726102; 0,333542; -0,774539; 0,000729193;0,619855;104
0,689076; 0,339958; 0,775013; -0,000666806;0,619854;93
0,813348; 0,354991; 0,774286; 0,000303549;0,619846;90
0,192601; 0,435589; 0,000413277; 0,774651;0,619843;92
-0,878525; -0,801006; -0,7754; -0,774443;1,23969;89
0,499045; -0,475099; 0,774045; -0,775099;1,23969;54
-0,499833; -0,695905; -0,774833; -0,77403;1,23969;84
0,299354; 0,936417; -0,000645941; 0,775479;0,619869;75
-0,512776; 0,117681; -0,775276; 0,00049344;0,619855;94
-0,144761; -0,504611; 0,00055196; -0,774923;0,619848;82
0,122604; 0,785151; 0,00072938; 0,774214;0,619862;78
-0,375214; 0,915768; -0,000214249; 0,775143;0,619844;101
-0,853419; 0,814628; -0,775294; 0,774003;1,2397;88
-0,967293; -0,639104; -0,775106; -0,775042;1,23968;103
0,446773; 0,611925; 0,774898; 0,774425;1,23968;82
-0,81949; -0,0104056; -0,774177; 0,000531868;0,619855;78
-0,980859; -0,827584; -0,774609; -0,774459;1,23968;75
0,0509333; -0,977019; -0,000629178; -0,775457;0,619867;74
0,667134; 0,104822; 0,774946; 0,00013424;0,619839;66
0,668212; -0,688832; 0,774462; -0,77477;1,23968;87
-0,204235; 0,400271; 0,000452349; 0,775271;0,619853;101
-0,520564; 0,240361; -0,775252; -0,000264171;0,619848;93
0,510434; 0,679837; 0,774497; 0,77515;1,23968;103
0,220732; 0,223156; 0,000419233; -0,000281426;8,11846e-06;82
-0,76182; 0,167471; -0,77432; 0,000283224;0,619845;94
-0,771778; -0,629611; -0,774903; -0,774924;1,23968;79
0,918512; -0,959159; 0,774762; -0,774784;1,23967;95
-0,114292; -0,480834; -0,000229303; -0,774584;0,619839;95
0,133027; -0,332542; 0,000214935; 0,000270475;3,80051e-06;99
0,548427; -0,143859; 0,77499; -0,000109314;0,61984;84
0,256052; -0,6976; -0,000197534; -0,774162;0,619848;95
0,169392; 0,607233; 0,000642027; 0,77442;0,619853;92
-0,170963; -0,606741; -0,000650623; -0,775491;0,619869;102
0,24494; -0,73527; -0,000372727; -0,774332;0,619846;94
-0,704523; -0,0784991; -0,774835; -0,000374058;0,619842;86
0,246099; -0,710144; -0,000775901; -0,774207;0,619864;103
0,341231; 0,156938; 0,000605844; 0,000687969;2,67588e-05;82
0,856535; -0,0532541; 0,775285; -0,000129094;0,619848;87
-0,588211; -0,992152; -0,774148; -0,774965;1,23969;82
-0,236066; 0,577991; -0,000128359; 0,774866;0,619838;105
-0,74288; 0,72572; -0,77413; 0,774157;1,23969;78
0,619968; -0,746929; 0,774656; -0,775054;1,23968;95
-0,750899; -0,824192; -0,774336; -0,774192;1,23969;69
-0,848124; -0,372396; -0,774687; -0,000520882;0,619846;88
-0,180966; -0,625835; 0,000283756; -0,774272;0,619846;85
0,265037; 0,209296; -0,000588375; -7,90661e-05;1,12225e-05;93
0,717; -0,366702; 0,774812; 0,000485967;0,619845;107
-0,468947; -0,002482; -0,775197; 0,000643002;0,619858;66
0,845312; -0,999992; 0,774999; -0,774992;1,23968;93
0,488722; -0,884045; 0,77466; -0,77467;1,23967;93
-0,959834; 0,845086; -0,775459; 0,774774;1,23969;103
-0,289583; 0,504105; -0,000520796; 0,774417;0,619849;101
-0,795798; -0,104174; -0,775485; 0,000513329;0,619864;76
-0,736923; -0,659754; -0,774423; -0,775379;1,23969;78
-0,931356; 0,661343; -0,775106; 0,775406;1,23969;94
-0,357664; 0,912753; 0,000148226; 0,775253;0,619847;89
-0,135565; 0,727543; 0,000372028; 0,774418;0,619844;87
0,0706089; -0,914536; 0,000296401; -0,775473;0,619858;95
-0,268034; -0,296493; 0,000716207; 0,000382036;2,09811e-05;92
0,163207; -0,244008; 0,000707212; -0,000257988;1,80453e-05;84
-0,202589; -0,249734; 0,000536331; 0,00026645;1,14202e-05;65
0,295044; 0,488021; -0,000268488; 0,773958;0,619857;83
-0,826245; 0,435979; -0,774683; 0,775042;1,23968;72
-0,397663; -0,486582; 0,000774418; -0,774082;0,619869;84
0,994567; 0,113059; 0,774255; 0,000559484;0,619854;84
-0,77515; -0,806748; -0,77515; -0,773936;1,2397;79
