t;alpha;omega
0; 0; 0
0.05; 0; 0.185205
0.05; 0.00926026; 0.171345
0.1; 0.0171345; 0.343672
0.1; 0.0176129; 0.343347
0.15; 0.0347802; 0.501818
0.15; 0.0427038; 0.488946
0.2; 0.0665075; 0.635537
0.2; 0.0669531; 0.635207
0.25; 0.0987135; 0.768926
0.25; 0.105399; 0.757045
0.3; 0.142658; 0.879873
0.3; 0.14307; 0.879542
0.35; 0.187047; 0.990485
0.35; 0.192594; 0.979589
0.4; 0.241029; 1.08061
0.4; 0.241409; 1.08028
0.45; 0.295423; 1.1704
0.45; 0.299929; 1.16047
0.5; 0.357456; 1.24162
0.5; 0.357803; 1.2413
0.55; 0.419868; 1.3125
0.55; 0.423428; 1.30351
0.6; 0.488154; 1.36665
0.6; 0.488469; 1.36634
0.65; 0.556786; 1.42048
0.65; 0.559493; 1.4124
0.7; 0.629709; 1.45935
0.7; 0.629993; 1.45904
0.75; 0.702945; 1.4979
0.75; 0.704888; 1.49069
0.8; 0.779062; 1.52318
0.8; 0.779317; 1.52289
0.85; 0.855461; 1.54816
0.85; 0.856725; 1.54178
0.9; 0.933494; 1.56147
0.9; 0.933721; 1.5612
0.95; 1.01178; 1.57449
0.95; 1.01245; 1.56889
1; 1.09061; 1.57735
1; 1.09081; 1.57709
1.05; 1.16966; 1.57993
1.05; 1.16981; 1.57506
1.1; 1.24832; 1.57375
1.1; 1.24849; 1.57351
1.15; 1.32717; 1.56732
1.15; 1.32686; 1.56314
1.2; 1.4048; 1.55343
1.2; 1.40495; 1.5532
1.25; 1.48261; 1.5393
1.25; 1.48192; 1.53576
1.3; 1.55853; 1.51893
1.3; 1.55866; 1.51872
1.35; 1.63459; 1.49833
1.35; 1.63358; 1.49538
1.4; 1.7082; 1.4726
1.4; 1.7083; 1.47241
1.45; 1.78192; 1.44666
1.45; 1.78064; 1.44425
1.5; 1.85273; 1.4166
1.5; 1.85282; 1.41642
1.55; 1.92364; 1.38634
1.55; 1.92213; 1.38441
1.6; 1.99126; 1.35287
1.6; 1.99133; 1.35271
1.65; 2.05897; 1.31923
1.65; 2.05729; 1.31774
1.7; 2.12311; 1.2832
1.7; 2.12316; 1.28305
1.75; 2.18731; 1.247
1.75; 2.18551; 1.24592
1.8; 2.24775; 1.20916
1.8; 2.2478; 1.20903
1.85; 2.30825; 1.17117
1.85; 2.30635; 1.17044
1.9; 2.36484; 1.13218
1.9; 2.36487; 1.13207
1.95; 2.42147; 1.09306
1.95; 2.41952; 1.09264
2; 2.47413; 1.05352
2; 2.47415; 1.05341
2.05; 2.52682; 1.01385
2.05; 2.52485; 1.0137
2.1; 2.57552; 0.974251
2.1; 2.57553; 0.97416
2.15; 2.62424; 0.93455
2.15; 2.62226; 0.934641
2.2; 2.669; 0.895342
2.2; 2.669; 0.895263
2.25; 2.71376; 0.856045
2.25; 2.7118; 0.85634
2.3; 2.75463; 0.817603
2.3; 2.75462; 0.817535
2.35; 2.7955; 0.779083
2.35; 2.79358; 0.77955
2.4; 2.83258; 0.741721
2.4; 2.83257; 0.741664
2.45; 2.86965; 0.704293
2.45; 2.86778; 0.704902
2.5; 2.90306; 0.66827
2.5; 2.90304; 0.668222
2.55; 2.93645; 0.632191
2.55; 2.93465; 0.632916
2.6; 2.96633; 0.597715
2.6; 2.96631; 0.597676
2.65; 2.99619; 0.563192
2.65; 2.99447; 0.56401
2.7; 3.02271; 0.530425
2.7; 3.02268; 0.530394
2.75; 3.0492; 0.497621
2.75; 3.04756; 0.498509
2.8; 3.07253; 0.466684
2.8; 3.07251; 0.466661
2.85; 3.09584; 0.435718
2.85; 3.09429; 0.436657
2.9; 3.11617; 0.406696
2.9; 3.11614; 0.406679
2.95; 3.13647; 0.377651
2.95; 3.13502; 0.378624
3; 3.154; 0.350595
3; 3.15397; 0.350584
3.05; 3.1715; 0.323523
3.05; 3.17015; 0.324514
3.1; 3.18642; 0.298456
3.1; 3.18639; 0.29845
3.15; 3.20131; 0.273378
3.15; 3.20006; 0.274375
3.2; 3.21383; 0.250298
3.2; 3.21379; 0.250296
3.25; 3.22631; 0.227212
3.25; 3.22515; 0.228202
3.3; 3.23661; 0.206095
3.3; 3.23658; 0.206097
3.35; 3.24689; 0.184977
3.35; 3.24583; 0.18595
3.4; 3.25518; 0.165781
3.4; 3.25514; 0.165787
3.45; 3.26343; 0.146588
3.45; 3.26247; 0.147536
3.5; 3.2699; 0.129257
3.5; 3.26986; 0.129265
3.55; 3.27633; 0.111931
3.55; 3.27546; 0.112847
3.6; 3.28115; 0.0963948
3.6; 3.28112; 0.0964055
3.65; 3.28594; 0.0808672
3.65; 3.28516; 0.0817457
3.7; 3.28929; 0.0670461
3.7; 3.28926; 0.0670587
3.75; 3.29262; 0.0532363
3.75; 3.29192; 0.0540729
3.8; 3.29467; 0.0410435
3.8; 3.29464; 0.0410575
3.85; 3.29669; 0.0288637
3.85; 3.29608; 0.0296552
3.9; 3.29761; 0.0182063
3.9; 3.29758; 0.0182214
3.95; 3.29849; 0.00756329
3.95; 3.29796; 0.00830719
4; 3.29841; -0.00165552
4; 3.29838; -0.00163961
4.05; 3.2983; -0.0108589
4.05; 3.29784; -0.0101641
4.1; 3.29737; -0.0187382
4.1; 3.29734; -0.0187217
4.15; 3.29641; -0.0266012
4.15; 3.29601; -0.0259563
4.2; 3.29475; -0.033241
4.2; 3.29473; -0.0332243
4.25; 3.29307; -0.0398641
4.25; 3.29273; -0.0392692
4.3; 3.2908; -0.0453639
4.3; 3.29078; -0.0453472
4.35; 3.28851; -0.0508469
4.35; 3.28824; -0.0503015
4.4; 3.28575; -0.0553051
4.4; 3.28573; -0.0552885
4.45; 3.28297; -0.0597464
4.45; 3.28274; -0.0592497
4.5; 3.2798; -0.0632589
4.5; 3.27979; -0.0632427
4.55; 3.27663; -0.0667548
4.55; 3.27645; -0.0663054
4.6; 3.27316; -0.0694147
4.6; 3.27314; -0.0693989
4.65; 3.26967; -0.0720583
4.65; 3.26954; -0.0716546
4.7; 3.26598; -0.073955
4.7; 3.26596; -0.0739397
4.75; 3.26226; -0.0758358
4.75; 3.26217; -0.0754758
4.8; 3.25841; -0.0770546
4.8; 3.2584; -0.07704
4.85; 3.25455; -0.0782582
4.85; 3.25449; -0.0779398
4.9; 3.25061; -0.07888
4.9; 3.2506; -0.0788661
4.95; 3.24665; -0.0794872
4.95; 3.24662; -0.0792081
5; 3.24268; -0.0795882
5; 3.24267; -0.0795751
5.05; 3.23869; -0.0796754
5.05; 3.23868; -0.0794332
5.1; 3.23472; -0.0793269
5.1; 3.23471; -0.0793146
5.15; 3.23075; -0.0789653
5.15; 3.23077; -0.0787575
5.2; 3.22684; -0.0782336
5.2; 3.22683; -0.0782222
5.25; 3.22292; -0.0774897
5.25; 3.22296; -0.0773138
5.3; 3.2191; -0.0764361
