punkt startowy;p[0] z ekspansji;p[1] z ekspansji;f_calls;alpha;wynik opt X z fiba;wynik opt Y z fiba
-48.0529;-2.79369;6.71075;46;1.1;6.71075;40
-59.8405;-5.07682;6.42356;48;1.1;6.42356;40
56.4965;62.0564;63.224;24;1.1;63.224;40
-26.7157;-3.49057;1.38671;39;1.1;-10.7863;40
-80.6321;-7.74165;7.56535;51;1.1;0.00208887;3.11879e-05
25.1517;-2.95078;1.9265;41;1.1;7.03815;40
-86.0141;-5.83458;11.0031;52;1.1;11.0031;40
65.6098;62.4713;63.016;18;1.1;63.016;40
-25.9136;-2.68849;2.18879;39;1.1;7.30044;40
2.6695;-0.183617;0.311552;17;1.1;-1.20476;40
-1.33451;-0.124506;0.129594;8;1.1;-0.476994;40
-53.8902;-4.10505;6.34983;47;1.1;6.34983;40
27.036;-3.87665;1.48836;42;1.1;-0.261196;40
-1.03094;-1.03094;0.0690631;5;1.1;0.902056;40
-48.3067;-3.04742;6.45703;46;1.1;6.45703;40
-7.75193;-1.02443;0.388342;26;1.1;-0.644282;40
7.14234;-0.997932;0.414843;28;1.1;-1.7002;40
-95.9972;-7.79973;10.7217;53;1.1;10.7217;40
46.7319;61.1529;64.1813;34;1.1;64.1813;40
29.0103;-1.90235;3.46266;42;1.1;0.0020889;0.000233734
75.0852;61.9752;64.2505;33;1.1;64.2505;40
-12.7606;-0.842386;1.66043;32;1.1;4.53121;40
-5.73417;-0.679702;0.381736;23;1.1;0.902056;40
30.2303;-3.7736;2.12791;43;1.1;0.00208886;8.81556e-06
-70.1342;-3.87007;10.0454;50;1.1;10.0454;40
-25.6507;-2.4255;2.45178;39;1.1;6.91354;40
36.3212;-4.82358;2.31725;45;1.1;0.0020889;0.000242913
-39.14;-5.13606;2.00477;43;1.1;-0.261196;40
-42.9222;-5.51786;2.33705;44;1.1;-0.261196;40
31.7758;-2.2281;3.67341;43;1.1;0.00208888;0.000147676
-5.29049;-0.695515;0.26943;22;1.1;0.902056;40
43.3371;-6.44803;2.19237;47;1.1;3.65147;40
-14.8903;-1.78035;0.972744;33;1.1;-7.18284;40
-64.8944;-4.65434;7.99608;49;1.1;7.99608;40
29.591;-4.4129;1.48861;43;1.1;0.00208889;0.000226581
1.36358;-0.100523;0.153577;10;1.1;-0.453011;40
-62.4015;-7.63777;3.86261;48;1.1;3.86261;40
-55.7648;-5.97966;4.47523;47;1.1;4.47523;40
66.0603;62.2628;62.9219;20;1.1;62.9219;40
78.1958;60.7464;63.7748;36;1.1;63.7748;40
2.40083;-0.19291;0.257244;16;1.1;0.902056;40
5.04547;-0.514443;0.450502;24;1.1;0.902056;40
90.1187;59.206;64.571;42;1.1;64.571;40
24.1358;-1.41189;3.022;40;1.1;9.32341;40
-12.6212;-0.703059;1.79976;32;1.1;4.67054;40
-65.6915;-5.45143;7.19899;49;1.1;7.19899;40
24.346;-1.20167;3.23223;40;1.1;9.53364;40
74.734;61.624;63.8993;33;1.1;63.8993;40
44.8685;60.7316;64.0629;35;1.1;64.0629;40
47.7189;60.8289;63.582;33;1.1;63.582;40
28.645;-2.2677;3.09731;42;1.1;0.00208888;0.000147923
57.1673;62.2217;63.2832;23;1.1;63.2832;40
-59.4563;-4.69259;6.80779;48;1.1;6.80779;40
-3.19686;-0.343748;0.255407;17;1.1;0.00208886;1.56429e-07
-87.5977;-7.41819;9.41951;52;1.1;9.41951;40
78.3202;60.8708;63.8992;36;1.1;63.8992;40
70.5039;62.3637;63.7764;28;1.1;63.7764;40
13.4584;-0.962629;1.54019;34;1.1;4.82912;40
-36.4423;-2.43832;4.70251;43;1.1;4.70251;40
42.0168;-3.24241;4.6125;46;1.1;0.00208883;0.00024092
-76.7736;-3.88315;11.4238;51;1.1;11.4238;40
-38.7027;-4.69872;2.44211;43;1.1;0.00208891;0.000306115
